"コード","撮影者名","提供者名","写真タイトル","撮影年月日","撮影場所"
"HH146","中田　左都男(同盟通信社)","広島平和記念資料館","西練兵場付近の被爆死体","1945/08/10か11","広島城付近"
"HH152","佐伯 敬(同盟通信社)","広島平和記念資料館","西練兵場付近の被爆死体","1945/08/10~17","西練兵場付近"
"SA073-1","岸田　貢宜","岸田　哲平","本通り中央角から北方の紙屋町、立町方面を望む","1945年8月7日","本通り"
"SA073-2","岸田　貢宜","岸田　哲平","本通りを通して東方を望む","1945年8月7日","本通り"
