"コード","撮影者名","提供者名","写真タイトル","撮影年月日","撮影場所"
"SA069-1","川本　俊雄","川本　祥雄","比治山国民学校校庭","1945年末頃","東雲町(現在の上東雲町)、比治山国民学校校庭"
"SAAD38","尾糠　政美","広島原爆被災撮影者の会","市立第一国民学校内の臨時救護所に収容された大やけどの子ども","1945年8月7日～1945年20日頃","段原山崎町"
