"コード","撮影者名","提供者名","写真タイトル","撮影年月日","撮影場所"
"HH162","中田　左都男(同盟通信社)","広島平和記念資料館","中国新聞社屋上から東方向を望む","1945/08/10,11","上流川町(現在の胡町)、中国新聞社"
"HH163","中田　左都男(同盟通信社)","広島平和記念資料館","破壊された広島市街","1945/08/10,11","広島市街"
