city_eng,start_median,full_median,bloom_median,bloom_mean,city,latitude,longitude,march_avg_temp
Shimonoseki,2000-03-22,2000-03-31,9 days 00:00:00.000000000,8 days 20:12:37.894736842,下関,33.9575,130.9412,10.457894736842107
Fukuoka,2000-03-26,2000-04-04,8 days 00:00:00.000000000,7 days 20:12:37.894736842,福岡,33.5663,130.7159,10.352631578947367
Saga,2000-03-27,2000-04-03,8 days 00:00:00.000000000,7 days 11:22:06.315789473,佐賀,33.3078,130.2271,11.231578947368423
Ōita,2000-03-21,2000-03-29,6 days 00:00:00.000000000,7 days 11:22:06.315789473,大分,33.1589,131.3611,10.915789473684212
Nagasaki,2000-03-26,2000-04-04,7 days 00:00:00.000000000,7 days 10:06:18.947368421,長崎,32.7503,129.8779,12.821052631578945
Kumamoto,2000-04-02,2000-04-08,4 days 00:00:00.000000000,5 days 01:15:47.368421052,熊本,32.8032,130.7079,12.052631578947368
Kagoshima,2000-03-28,2000-04-02,5 days 00:00:00.000000000,5 days 03:47:22.105263157,鹿児島,31.3912,130.8779,20.79473684210526
Miyazaki,2000-03-28,2000-04-04,6 days 00:00:00.000000000,6 days 11:22:06.315789473,宮崎,32.6036,131.4413,19.26315789473684
Naze,2000-03-24,2000-04-01,9 days 00:00:00.000000000,8 days 20:12:37.894736842,名瀬,35.4349,139.5356,19.92631578947368
Ishigaki,2000-05-12,2000-05-15,2 days 00:00:00.000000000,2 days 20:12:37.894736842,石垣島,24.4064,124.1754,18.957894736842103
Miyako-jima,2000-04-13,2000-04-17,4 days 00:00:00.000000000,4 days 05:03:09.473684210,宮古島,24.7674,125.3247,9.036842105263158
Naha,2000-03-23,2000-03-31,7 days 00:00:00.000000000,8 days 03:47:22.105263157,那覇,26.2126,127.679,17.01052631578947
Minamidaitō-jima,2000-03-23,2000-04-03,11 days 00:00:00.000000000,10 days 08:50:31.578947368,南大東島,25.8488,131.2507,8.110526315789473
